level4,level4_label,LCNS_n,LCNS_label,CoverPCmin,CoverPCmax,
0    ,No data,0,No data,0,0,
14   , Cultivated Terrestrial Vegetated: Herbaceous Closed (> 65 %),1,Cultivated closed,65,100,
15   , Cultivated Terrestrial Vegetated: Herbaceous Open (40 to 65 %),2,Cultivated open 40,40,65,
16   , Cultivated Terrestrial Vegetated: Herbaceous Open (15 to 40 %),3,Cultivated open 15,15,40,
17   , Cultivated Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %),4,Cultivated sparse,4,15,
18   , Cultivated Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %),4,Cultivated sparse,1,4,
27   , Natural Terrestrial Vegetated: Woody Closed (> 65 %),5,Woody closed,65,100,
28   , Natural Terrestrial Vegetated: Woody Open (40 to 65 %),6,Woody open 40,40,65,
29   , Natural Terrestrial Vegetated: Woody Open (15 to 40 %),7,Woody open 15,15,40,
30   , Natural Terrestrial Vegetated: Woody Sparse (4 to 15 %),8,Woody sparse,4,15,
31   , Natural Terrestrial Vegetated: Woody Scattered (1 to 4 %),8,Woody sparse,1,4,
32   , Natural Terrestrial Vegetated: Herbaceous Closed (> 65 %),9,Herbaceous closed,65,100,
33   , Natural Terrestrial Vegetated: Herbaceous Open (40 to 65 %),10,Herbaceous open 40,40,65,
34   , Natural Terrestrial Vegetated: Herbaceous Open (15 to 40 %),11,Herbaceous open 15,15,40,
35   , Natural Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %),12,Herbaceous sparse,4,15,
36   , Natural Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %),13,Herbaceous scattered,1,4,
63   , Natural Aquatic Vegetated: Woody Closed (> 65 %),14,Aquatic Woody closed,65,100,
64   , Natural Aquatic Vegetated: Woody Closed (> 65 %) Water > 3 months (semi-) permanent,14,Aquatic Woody closed,65,100,
65   , Natural Aquatic Vegetated: Woody Closed (> 65 %) Water < 3 months (temporary or seasonal),14,Aquatic Woody closed,65,100,
66   , Natural Aquatic Vegetated: Woody Open (40 to 65 %),15,Aquatic Woody open,40,65,
67   , Natural Aquatic Vegetated: Woody Open (40 to 65 %) Water > 3 months (semi-) permanent,15,Aquatic Woody open,40,65,
68   , Natural Aquatic Vegetated: Woody Open (40 to 65 %) Water < 3 months (temporary or seasonal),15,Aquatic Woody open,40,65,
69   , Natural Aquatic Vegetated: Woody Open (15 to 40 %),16,Aquatic Woody sparse to open,15,40,
70   , Natural Aquatic Vegetated: Woody Open (15 to 40 %) Water > 3 months (semi-) permanent,16,Aquatic Woody sparse to open,15,40,
71   , Natural Aquatic Vegetated: Woody Open (15 to 40 %) Water < 3 months (temporary or seasonal),16,Aquatic Woody sparse to open,15,40,
72   , Natural Aquatic Vegetated: Woody Sparse (4 to 15 %),16,Aquatic Woody sparse to open,4,15,
73   , Natural Aquatic Vegetated: Woody Sparse (4 to 15 %) Water > 3 months (semi-) permanent,16,Aquatic Woody sparse to open,4,15,
74   , Natural Aquatic Vegetated: Woody Sparse (4 to 15 %) Water < 3 months (temporary or seasonal),16,Aquatic Woody sparse to open,4,15,
75   , Natural Aquatic Vegetated: Woody Scattered (1 to 4 %),16,Aquatic Woody sparse to open,1,4,
76   , Natural Aquatic Vegetated: Woody Scattered (1 to 4 %) Water > 3 months (semi-) permanent,16,Aquatic Woody sparse to open,1,4,
77   , Natural Aquatic Vegetated: Woody Scattered (1 to 4 %) Water < 3 months (temporary or seasonal),16,Aquatic Woody sparse to open,1,4,
78   , Natural Aquatic Vegetated: Herbaceous Closed (> 65 %),17,Aquatic Herbaceous,65,100,
79   , Natural Aquatic Vegetated: Herbaceous Closed (> 65 %) Water > 3 months (semi-) permanent,17,Aquatic Herbaceous,65,100,
80   , Natural Aquatic Vegetated: Herbaceous Closed (> 65 %) Water < 3 months (temporary or seasonal),17,Aquatic Herbaceous,65,100,
81   , Natural Aquatic Vegetated: Herbaceous Open (40 to 65 %),17,Aquatic Herbaceous,40,65,
82   , Natural Aquatic Vegetated: Herbaceous Open (40 to 65 %) Water > 3 months (semi-) permanent,17,Aquatic Herbaceous,40,65,
83   , Natural Aquatic Vegetated: Herbaceous Open (40 to 65 %) Water < 3 months (temporary or seasonal),17,Aquatic Herbaceous,40,65,
84   , Natural Aquatic Vegetated: Herbaceous Open (15 to 40 %),17,Aquatic Herbaceous,15,40,
85   , Natural Aquatic Vegetated: Herbaceous Open (15 to 40 %) Water > 3 months (semi-) permanent,17,Aquatic Herbaceous,15,40,
86   , Natural Aquatic Vegetated: Herbaceous Open (15 to 40 %) Water < 3 months (temporary or seasonal),17,Aquatic Herbaceous,15,40,
87   , Natural Aquatic Vegetated: Herbaceous Sparse (4 to 15 %),17,Aquatic Herbaceous,4,15,
88   , Natural Aquatic Vegetated: Herbaceous Sparse (4 to 15 %) Water > 3 months (semi-) permanent,17,Aquatic Herbaceous,4,15,
89   , Natural Aquatic Vegetated: Herbaceous Sparse (4 to 15 %) Water < 3 months (temporary or seasonal),17,Aquatic Herbaceous,4,15,
90   , Natural Aquatic Vegetated: Herbaceous Scattered (1 to 4 %),17,Aquatic Herbaceous,1,4,
91   , Natural Aquatic Vegetated: Herbaceous Scattered (1 to 4 %) Water > 3 months (semi-) permanent,17,Aquatic Herbaceous,1,4,
92   , Natural Aquatic Vegetated: Herbaceous Scattered (1 to 4 %) Water < 3 months (temporary or seasonal),17,Aquatic Herbaceous,1,4,
93   , Artificial Surface,18,Artificial Surface,0,0,
94   , Natural Surface,19,Bare ground,0,0,
95   , Natural Surface: Sparsely vegetated,13,Herbaceous scattered,1,4,
96   , Natural Surface: Very sparsely vegetated,13,Herbaceous scattered,1,4,
97   ," Natural Surface: Bare areas, unvegetated",19,Bare ground,0,0,
98   , Water,20,Water  or 22 Ocean if outside AoI,0,0,
99   , Water: (Water),20,Water or 22 Ocean if outside AoI,0,0,
100   , Water: (Water) Tidal area,20,Water or 22 Ocean if outside AoI,0,0,
101   , Water: (Water) Perennial (> 9 months),20,Water or 22 Ocean if outside AoI,0,0,
102   , Water: (Water) Non-perennial (7 to 9 months),20,Water or 22 Ocean if outside AoI,0,0,
103   , Water: (Water) Non-perennial (4 to 6 months),21,Water 1 to 6 months  or 22 Ocean if outside AoI,0,0,
104   , Water: (Water) Non-perennial (1 to 3 months),21,Water 1 to 6 months  or 22 Ocean if outside AoI,0,0,
